-17944876358	déscendre	dico	(v.)	jigi		N be jigi yan							 					vi
1527665647576	contribution volontaire	yq		bolomafara														delete wt
1527665647684	Souligner (accentuer)	yq		K'a yira ka gwɛ														delete wt
1529143433476	gros / vaste	yq	&nbsp;(adj.)	bon									 					delete essentiel marked
1529143433486	france	yq		faransi jamana									 					delete geo
1529599765334	Tout comme	jl 1		I n’a fɔ														delete
1529599765549	Esclave filèle et avisé	jl 19		Jɔncɛ kantigiman hakiliman														delete
1538505721010	brebis	tg		sagamuso									 					animal delete
27783419432	ésclave fidèle et avisé	yq		jɔncɛ kantigiman hakiliman	JL								 	jɔnkɛ dannamɔgɔ hakiliman	BM			wt
6684371870	Gauche (à)	yq		Numan (bolo) fɛ									 					delete essentiel
